"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0041721",33.2440553950684,1.22800630626647,0.433822694322344,2.83066405316736,0.00464514825752756,0.0394104639640134
"FBgn0010223",81.723829756862,-1.30940072191048,0.26480836694861,-4.944710535391,7.62570887081579e-07,2.06301803193799e-05
"FBgn0052185",31.5486182326698,1.42300101166421,0.40845082811494,3.4838979718356,0.000494167830516539,0.00622448879346089
"FBgn0000567",378.817044431818,-1.25754134055454,0.165067089350427,-7.6183650266278,2.56908930777166e-14,2.23209601053445e-12
"FBgn0264748",18.8489122226765,1.71643468507653,0.545618282713484,3.14585258496161,0.00165603452095672,0.0167413219551007
"FBgn0036801",51.7373768196504,-1.27860486005473,0.329314977790428,-3.88261982079788,0.000103337067346462,0.00160470900790904
"FBgn0036821",609.146571478564,-1.7370855714687,0.454025825271032,-3.82596203736151,0.000130262364613783,0.00193215021167651
"FBgn0002945",84.3135982922713,-1.0619519589338,0.315602877628928,-3.36483610958199,0.000765891375645656,0.00884424631500615
"FBgn0036862",432.409187263526,1.07122754764049,0.384113043480659,2.78883408366846,0.00528981572925283,0.0435485978169972
"FBgn0267635",260.399719794338,1.23373693253584,0.175497356346876,7.02994596737584,2.06613533937463e-12,1.26964016604571e-10
"FBgn0036985",2821.01714978609,-1.33289605725348,0.146561382274227,-9.09445610140014,9.50610668821842e-20,1.22061247520512e-17
"FBgn0037046",36.5403206239129,1.68595207888474,0.407242241135995,4.13992437076715,3.47420341355392e-05,0.000621728081598911
"FBgn0037153",194.581109820095,1.72269862709867,0.193354942622808,8.90951430426718,5.12566099150145e-19,6.04055637121739e-17
"FBgn0033065",44.6514607786079,2.927045260178,0.405677654470571,7.21519962443565,5.38549131403601e-13,3.61963920114467e-11
"FBgn0050495",10.5487773124793,2.47961365901909,0.869782675739296,2.85084277737708,0.00436035238789819,0.0376249865527464
"FBgn0033268",124.255195980311,1.02174279743957,0.224478806385132,4.55162255133607,5.32337749585932e-06,0.00011895328986202
"FBgn0261588",33.0924616102424,1.19064165720983,0.423800379947457,2.80943980597054,0.00496277986355478,0.0414512574428755
"FBgn0050359",67.3545646660861,1.18627392683995,0.292093007265552,4.06128834765794,4.88026502402213e-05,0.000826474803182331
"FBgn0033363",146.109665938563,-1.00330241537688,0.223330122060558,-4.49246347120533,7.04039973036366e-06,0.000152950906263431
"FBgn0033367",22435.8857439276,1.38201787012597,0.150924837987468,9.15699422676028,5.33629275742338e-20,6.95577675638081e-18
"FBgn0033368",96.3515926874842,1.3545687422297,0.263918433303223,5.13252797569239,2.85876219686073e-07,8.2253950433421e-06
"FBgn0033426",534.089138112067,-1.0069634849507,0.138366600373229,-7.27750398025627,3.40052974363772e-13,2.39793093315699e-11
"FBgn0033446",125.902567353012,-1.09035659379988,0.230823991555485,-4.72375764084204,2.31526315827627e-06,5.57933023827752e-05
"FBgn0033458",61.2097093378097,1.18231467667823,0.331862074131178,3.56266885805965,0.000367103628245754,0.00484385354877028
"FBgn0265512",100.676629581873,-1.98331759856819,0.348344808599033,-5.69354716823442,1.24426820975307e-08,4.21434622382112e-07
"FBgn0033541",34.4325930889093,1.13973520857847,0.388942886768051,2.93034079643204,0.003385904421627,0.0305750752486921
"FBgn0033635",3795.15809254957,1.16231210968603,0.136693628617828,8.50304525118469,1.846808749387e-17,1.86918772599721e-15
"FBgn0033724",225.413467052635,1.40577784658663,0.211876742834008,6.6348851118972,3.24755382757142e-11,1.59649746163411e-09
"FBgn0261673",95.3388983190457,3.27421033137589,0.289486111779987,11.3104228428904,1.16526597719018e-29,2.94846564757857e-27
"FBgn0033775",68.2280184210986,2.01616259339473,0.29600445446391,6.81125761112676,9.67492018452554e-12,5.33547040688931e-10
